ParcelId,OldLand,OldBuilding,OldTotal,NewLand,NewBuilding,NewTotal,Planning,Designation,NBHD
R72 01206 0046,16220,41420,57640,11390,114930,126320,HISTORIC INNER EAST,HD-2,Huffman
R72 02203 0014,7670,2940,10610,5370,3900,9270,HISTORIC INNER EAST,HD-2,Huffman
R72 01206 0021,8100,44470,52570,8100,34340,42440,HISTORIC INNER EAST,HD-1,Huffman
R72 01210 0040,14880,57170,72050,10280,90560,100840,HISTORIC INNER EAST,HD-2,Huffman
R72 01208 0059,14690,17680,32370,10130,49190,59320,HISTORIC INNER EAST,HD-2,Huffman
R72 01210 0068,15120,24960,40080,10480,52150,62630,HISTORIC INNER EAST,HD-2,Huffman
R72 01208 0065,17150,6940,24090,12290,41800,54090,HISTORIC INNER EAST,HD-2,Huffman
R72 01206 0033,7490,0,7490,4730,0,4730,HISTORIC INNER EAST,HD-2,Huffman
R72 01206 0034,14990,51460,66450,10500,82250,92750,HISTORIC INNER EAST,HD-2,Huffman
R72 01210 0099,12330,6300,18630,8210,43990,52200,HISTORIC INNER EAST,HD-2,Huffman
R72 01212 0008,15590,26360,41950,10930,49830,60760,HISTORIC INNER EAST,HD-2,Huffman
R72 01209 0051,15260,39320,54580,10580,64740,75320,HISTORIC INNER EAST,HD-2,Huffman
R72 02203 0042,7800,3850,11650,4900,0,4900,HISTORIC INNER EAST,HD-2,Huffman
R72 02203 0039,15120,21260,36380,10480,32190,42670,HISTORIC INNER EAST,HD-2,Huffman
R72 02203 0041,14180,9350,23530,9690,20590,30280,HISTORIC INNER EAST,HD-2,Huffman
R72 02203 0040,14880,28510,43390,10280,55390,65670,HISTORIC INNER EAST,HD-2,Huffman
R72 02203 0088,10220,14660,24880,6860,26070,32930,HISTORIC INNER EAST,HD-2,Huffman
R72 01208 0001,13500,46970,60470,8880,78830,87710,HISTORIC INNER EAST,HD-2,Huffman
R72 02203 0082,18480,26340,44820,13650,56350,70000,HISTORIC INNER EAST,HD-2,Huffman
R72 01209 0033,8810,18590,27400,8810,17440,26250,HISTORIC INNER EAST,HD-1,Huffman
R72 01210 0073,15120,37910,53030,10480,52850,63330,HISTORIC INNER EAST,HD-2,Huffman
R72 01206 0056,16730,45390,62120,12080,74860,86940,HISTORIC INNER EAST,HD-2,Huffman
R72 01208 0046,10210,33320,43530,6770,52280,59050,HISTORIC INNER EAST,HD-1,Huffman
R72 01208 0045,3160,0,3160,2080,0,2080,HISTORIC INNER EAST,HD-1,Huffman
R72 02203 0080,19480,110580,130060,14550,142170,156720,HISTORIC INNER EAST,HD-2,Huffman
R72 01210 0076,15590,15160,30750,10880,31750,42630,HISTORIC INNER EAST,HD-2,Huffman
R72 01208 0041,12050,75040,87090,7960,101020,108980,HISTORIC INNER EAST,HD-1,Huffman
R72 01210 0085,15360,14600,29960,10680,115250,125930,HISTORIC INNER EAST,HD-2,Huffman
R72 02201 0050,19980,94150,114130,15000,156710,171710,HISTORIC INNER EAST,HD-1,Huffman
R72 01209 0106,17700,46390,64090,12830,118380,131210,HISTORIC INNER EAST,HD-2,Huffman
R72 01210 0036,14880,29430,44310,6170,37220,43390,HISTORIC INNER EAST,HD-2,Huffman
R72 01212 0033,6880,0,6880,4200,0,4200,HISTORIC INNER EAST,HD-2,Huffman
R72 01209 0088,14490,38230,52720,10050,59700,69750,HISTORIC INNER EAST,HD-2,Huffman
R72 01209 0079,6190,0,6190,4380,0,4380,HISTORIC INNER EAST,HD-2,Huffman
R72 01209 0096,9320,60380,69700,6260,84860,91120,HISTORIC INNER EAST,HD-2,Huffman
R72 01210 0098,10060,27030,37090,6520,49540,56060,HISTORIC INNER EAST,HD-2,Huffman
R72 01211 0046,16730,35010,51740,12660,87070,99730,HISTORIC INNER EAST,HD-2,Huffman
R72 01211 0045,16730,14860,31590,12660,138810,151470,HISTORIC INNER EAST,HD-2,Huffman
R72 02201 0012,18480,47250,65730,13650,74840,88490,HISTORIC INNER EAST,HD-2,Huffman
R72 01209 0035,3630,0,3630,3630,0,3630,HISTORIC INNER EAST,HD-1,Huffman
R72 01209 0034,8810,0,8810,8810,0,8810,HISTORIC INNER EAST,HD-1,Huffman
R72 02201 0025,18480,18820,37300,13650,23650,37300,HISTORIC INNER EAST,HD-2,Huffman
R72 01212 0039,4820,0,4820,3140,0,3140,HISTORIC INNER EAST,HD-1,Huffman
R72 01212 0040,15880,33380,49260,11270,105750,117020,HISTORIC INNER EAST,HD-1,Huffman
R72 01206 0037,14990,18760,33750,10500,34560,45060,HISTORIC INNER EAST,HD-2,Huffman
R72 01206 0047,13010,77710,90720,8600,101830,110430,HISTORIC INNER EAST,HD-2,Huffman
R72 01211 0047,16730,11720,28450,12660,90420,103080,HISTORIC INNER EAST,HD-2,Huffman
R72 01209 0070,19980,103110,123090,15000,160770,175770,HISTORIC INNER EAST,HD-2,Huffman
R72 01210 0019,15310,55670,70980,10680,84020,94700,HISTORIC INNER EAST,HD-2,Huffman
R72 02207 0015,15730,2470,18200,11180,47350,58530,HISTORIC INNER EAST,HD-2,Huffman
R72 02203 0028,14880,42880,57760,10280,60010,70290,HISTORIC INNER EAST,HD-2,Huffman
R72 02203 0030,11910,0,11910,8230,0,8230,HISTORIC INNER EAST,HD-2,Huffman
R72 02203 0029,11910,0,11910,8230,0,8230,HISTORIC INNER EAST,HD-2,Huffman
R72 01209 0005,12180,73960,86140,12180,67160,79340,HISTORIC INNER EAST,HD-1,Huffman
R72 02202 0041,6720,20820,27540,3990,6580,10570,HISTORIC INNER EAST,HD-2,Huffman
R72 01210 0013,13370,36870,50240,9000,48880,57880,HISTORIC INNER EAST,HD-2,Huffman
R72 02203 0061,12630,41110,53740,8350,45750,54100,HISTORIC INNER EAST,HD-2,Huffman
R72 02201 0013,18480,29310,47790,13650,48550,62200,HISTORIC INNER EAST,HD-2,Huffman
R72 01306 0081,!,!,!,17590,76180,93770,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01301 0003,4840,50540,55380,3150,53760,56910,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0086,14180,32830,47010,14110,42440,56550,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0028,2170,0,2170,2470,0,2470,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01302 0014,610,0,610,290,0,290,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01205 0047,8160,0,8160,5160,0,5160,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0012,3840,0,3840,2430,0,2430,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0011,6280,0,6280,2980,0,2980,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01205 0046,16320,33410,49730,11460,49690,61150,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0021,17480,58510,75990,17830,113800,131630,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0045,15840,52180,68020,15800,77610,93410,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0074,18040,15000,33040,18460,73860,92320,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0027,16100,20070,36170,16270,69410,85680,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0007,10540,109580,120120,10540,36260,46800,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0017,21000,50230,71230,21490,67580,89070,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0078,16370,28870,45240,16580,40460,57040,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0033,7400,10120,17520,7160,6470,13630,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0026,13880,33350,47230,13760,56390,70150,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0041,17710,48790,66500,17880,69530,87410,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0003,24740,140980,165720,24990,254080,279070,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0067,19830,21630,41460,19550,38510,58060,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0016,21000,31850,52850,21490,152920,174410,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0037,17710,31050,48760,17880,52150,70030,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0076,13880,7580,21460,13760,4610,18370,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0090,!,!,!,13240,49650,62890,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0006,30390,66390,96780,33040,138200,171240,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0063,19830,45860,65690,19550,75460,95010,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0021,21900,95470,117370,21340,150110,171450,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0025,2660,2340,5000,2660,112730,115390,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0061,19220,54540,73760,18790,83730,102520,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0028,19710,44090,63800,20070,123050,143120,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01305 0051,25200,39610,64810,25700,73720,99420,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0054,15590,67380,82970,15560,94480,110040,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0032,4690,55620,60310,14290,135490,149780,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0018,19800,75460,95260,20010,134000,154010,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0075,14430,12660,27090,14390,35090,49480,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0082,3090,0,3090,1300,0,1300,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0062,19830,42300,62130,19550,72550,92100,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0034,27250,11350,38600,28260,77090,105350,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0045,26160,68700,94860,27210,232370,259580,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0086,!,!,!,13950,51670,65620,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01303 0034,19690,45440,65130,19900,101780,121680,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0041,17170,188490,205660,17350,275170,292520,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0013,2730,0,2730,1730,0,1730,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0018,8020,25170,33190,6930,127770,134700,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01305 0022,22600,94840,117440,22250,83730,105980,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0020,18000,64470,82470,18000,66670,84670,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0029,18320,52540,70860,18770,107860,126630,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0051,25660,31430,57090,26740,86990,113730,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0044,16540,63310,79850,16590,88970,105560,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0024,2320,2680,5000,31810,33190,65000,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01302 0056,21000,14250,35250,21280,40870,62150,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0013,16540,61270,77810,16590,91590,108180,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0059,20440,59850,80290,20300,129340,149640,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0026,40950,86370,127320,42250,130330,172580,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0025,17060,38700,55760,17140,91780,108920,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0001,16540,40950,57490,16590,61650,78240,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01205 0054,6990,0,6990,4630,0,4630,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0085,0,0,0,0,0,0,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01205 0052,9320,0,9320,6360,0,6360,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0009,16540,51100,67640,16590,95300,111890,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0030,18900,46670,65570,19070,74150,93220,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0047,16540,39890,56430,16590,50950,67540,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01205 0053,9320,0,9320,6360,0,6360,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0008,17060,54030,71090,17140,90640,107780,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01304 0001,16040,152690,168730,13580,148780,162360,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01205 0048,10330,8690,19020,7230,13840,21070,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01205 0051,9320,245470,254790,6360,254820,261180,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01307 0003,16540,39660,56200,16590,56880,73470,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01205 0042,30090,48900,78990,21320,56580,77900,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0082,3310,0,3310,3200,0,3200,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0066,28290,32380,60670,29560,61030,90590,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0021,9490,65920,75410,10450,98800,109250,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0033,19260,67090,86350,19510,105410,124920,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01304 0003,18040,6970,25010,15280,9230,24510,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01204 0084,0,0,0,0,0,0,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01308 0014,5790,0,5790,5820,0,5820,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0026,5870,4880,10750,5780,6460,12240,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01308 0002,24000,124990,148990,21600,122540,144140,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0077,5790,0,5790,16590,155850,172440,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0058,15840,40430,56270,15800,44690,60490,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0042,6440,0,6440,6520,0,6520,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0089,5330,4910,10240,5330,5420,10750,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01307 0006,14440,14050,28490,7210,0,7210,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0030,8270,27800,36070,8300,50580,58880,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0007,16540,45330,61870,16590,43490,60080,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0029,18900,44050,62950,19070,82650,101720,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0020,7040,0,7040,6930,0,6930,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01305 0002,16540,42720,59260,16590,76890,93480,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0005,18900,60490,79390,19070,126640,145710,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0019,17480,40060,57540,17830,32670,50500,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01303 0022,7410,77260,84670,7480,120500,127980,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0037,12000,60870,72870,12000,85210,97210,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0049,11130,60520,71650,12000,86200,98200,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0082,16540,39440,55980,16590,47170,63760,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0042,16540,57990,74530,16590,85110,101700,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0017,4880,1310,6190,4220,2170,6390,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01308 0045,12340,35100,47440,12180,41250,53430,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0084,15230,68860,84090,15210,101340,116550,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0094,17170,54790,71960,17350,78050,95400,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0078,16540,17700,34240,16590,55330,71920,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01301 0046,11480,128140,139620,6960,118470,125430,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0034,2500,1310,3810,2500,1310,3810,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0020,9490,65470,74960,10450,127920,138370,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01301 0052,8160,36410,44570,4910,120890,125800,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0027,16540,36250,52790,16590,91040,107630,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0011,17060,15300,32360,17140,92580,109720,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0067,16540,47330,63870,16590,62070,78660,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01304 0035,16540,68430,84970,16590,111190,127780,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0091,16900,55170,72070,17050,118710,135760,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0029,27000,23500,50500,27420,58260,85680,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01304 0043,8020,25040,33060,6930,24400,31330,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01306 0006,18900,46350,65250,19070,63400,82470,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0052,16540,33380,49920,16590,56620,73210,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0006,16540,72980,89520,16590,90290,106880,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0014,16540,34480,51020,16590,64340,80930,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0054,36000,110080,146080,36000,138730,174730,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0013,18900,41690,60590,19070,74620,93690,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0026,16540,34520,51060,16590,54860,71450,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0006,17060,42680,59740,17140,103140,120280,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01304 0017,20480,64480,84960,20730,126900,147630,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01307 0043,10790,28070,38860,11140,60820,71960,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0016,13390,39590,52980,13280,67670,80950,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0045,3840,0,3840,3740,0,3740,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0010,16540,42650,59190,16590,101640,118230,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0079,17060,29960,47020,17140,98800,115940,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0028,16540,35660,52200,16590,54560,71150,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0010,16700,52000,68700,16800,71760,88560,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01301 0006,9320,41020,50340,5640,48010,53650,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01301 0042,6560,55060,61620,3930,98560,102490,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0020,4010,40360,44370,3470,38280,41750,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01308 0036,16540,36960,53500,16590,48290,64880,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0064,17850,24000,41850,17970,82620,100590,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0007,16540,39870,56410,16590,45240,61830,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0024,17330,34910,52240,17420,119340,136760,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0035,2680,6510,9190,14110,68300,82410,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0061,16540,69280,85820,16590,89890,106480,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0004,16540,17970,34510,16590,51720,68310,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0046,16540,43310,59850,16590,76860,93450,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0003,16540,44510,61050,16590,83420,100010,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0015,13390,72020,85410,13280,104220,117500,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0040,16540,47370,63910,16590,68500,85090,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0058,10500,18880,29380,10640,37080,47720,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01304 0029,18110,58510,76620,18250,169830,188080,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01304 0039,16540,25960,42500,16590,76080,92670,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0042,18110,34100,52210,18250,108320,126570,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0050,14440,55430,69870,14390,98060,112450,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01307 0012,16540,42140,58680,16590,70950,87540,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0048,5790,0,5790,5820,0,5820,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0057,4850,0,4850,4190,0,4190,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01307 0005,14440,30310,44750,14390,43910,58300,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01304 0008,16540,90830,107370,16590,124180,140770,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0025,16540,66920,83460,16590,89300,105890,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01301 0053,9690,43660,53350,5850,110120,115970,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0083,!,!,!,27540,78200,105740,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01306 0077,5270,0,5270,5240,0,5240,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0026,17060,42470,59530,17140,53300,70440,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0047,8060,31540,39600,8240,76020,84260,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0033,14440,28540,42980,14390,35190,49580,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0017,17480,4100,21580,17830,86320,104150,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01303 0031,18900,42080,60980,19070,75150,94220,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0041,16540,33660,50200,16590,55640,72230,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01304 0013,21000,64690,85690,21280,123960,145240,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01204 0043,6930,3010,9940,6230,1990,8220,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0035,12130,72610,84740,12450,108980,121430,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0053,!,!,!,18310,79350,97660,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0001,13070,38400,51470,13140,90120,103260,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0030,16540,36590,53130,16590,59390,75980,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0083,13650,29850,43500,12200,19900,32100,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0037,16540,38060,54600,16590,57920,74510,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0031,18640,47770,66410,18800,76980,95780,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0024,16540,47610,64150,16590,82260,98850,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01304 0009,6200,0,6200,6240,0,6240,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0032,16540,23350,39890,16590,58030,74620,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0010,17060,52030,69090,17140,74290,91430,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0005,18110,70760,88870,18250,130500,148750,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0005,14180,31310,45490,14110,55600,69710,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0053,15230,43980,59210,15210,63940,79150,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0031,16540,51060,67600,16590,80380,96970,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0022,8910,28490,37400,6930,31860,38790,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01302 0036,14700,50090,64790,14660,48820,63480,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0056,4010,0,4010,3470,0,3470,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0038,21000,38340,59340,21280,45060,66340,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0033,17060,40740,57800,17140,70230,87370,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0054,13650,22480,36130,13560,16670,30230,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01306 0036,16540,39220,55760,11610,40820,52430,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0025,14180,58280,72460,14110,79360,93470,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0043,15100,4770,19870,13590,3160,16750,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0039,9230,22790,32020,9280,36180,45460,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0061,16540,27180,43720,7490,0,7490,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01307 0001,12290,35340,47630,12520,95190,107710,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0005,16540,51230,67770,16590,60060,76650,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01304 0037,16850,50860,67710,17010,74800,91810,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0016,2440,31820,34260,2110,93840,95950,HISTORIC INNER EAST,HD-1,St. Anne's Hill
R72 01306 0039,16540,60180,76720,16590,96320,112910,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0011,16540,57630,74170,16590,69730,86320,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0019,10030,53570,63600,10820,68890,79710,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01308 0012,16540,68590,85130,16590,86750,103340,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01303 0011,21000,102790,123790,21280,160080,181360,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01305 0008,16540,50580,67120,16590,77220,93810,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01301 0005,8270,66310,74580,4980,63420,68400,HISTORIC INNER EAST,HD-2,St. Anne's Hill
R72 01302 0055,16540,29110,45650,16590,34110,50700,HISTORIC INNER EAST,HD-2,St. Anne's Hill
