ParcelId,OldLand,OldBuilding,OldTotal,NewLand,NewBuilding,NewTotal,Planning,Designation,NBHD
R72 06807 0032,10080,45250,55330,8090,36000,44090,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0029,9600,34560,44160,7710,27830,35540,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0058,12690,47930,60620,11060,45500,56560,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0019,10910,39350,50260,8690,22450,31140,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0051,10900,49800,60700,8680,48340,57020,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0023,9700,51700,61400,7750,46700,54450,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0054,11400,41670,53070,9390,39740,49130,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0035,9800,48070,57870,7810,52910,60720,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0053,12830,51490,64320,10750,44920,55670,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0031,9600,38520,48120,7710,29640,37350,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0040,9800,49500,59300,7810,41560,49370,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0047,9800,44360,54160,7810,5730,13540,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06603 0024,8460,5960,14420,4600,29410,34010,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0030,13540,36380,49920,11470,36410,47880,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0041,14400,44800,59200,11670,24020,35690,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0039,12110,43780,55890,10070,42000,52070,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0033,11120,44560,55680,9120,32740,41860,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0038,9800,40360,50160,7810,29780,37590,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0036,11120,49970,61090,9120,30640,39760,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0068,11400,58810,70210,9430,37650,47080,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0073,10970,48460,59430,9020,33600,42620,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0063,9800,47460,57260,7850,40410,48260,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0024,5600,19590,25190,4470,31260,35730,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0068,11880,21270,33150,9440,31370,40810,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0034,11030,63480,74510,8770,32790,41560,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0067,11690,54820,66510,9700,40920,50620,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0070,11400,45980,57380,9430,42560,51990,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0061,12830,58370,71200,10790,45270,56060,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0045,11400,46390,57790,9390,41120,50510,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0066,10050,47950,58000,8010,39870,47880,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0021,9700,34310,44010,7750,40080,47830,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0061,9800,36140,45940,7810,37890,45700,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0063,12830,49960,62790,10790,50700,61490,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0062,12830,46270,59100,10790,37910,48700,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0042,12390,47670,60060,10640,55670,66310,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0050,11260,51130,62390,9260,23330,32590,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0059,9410,58280,67690,7520,34630,42150,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0039,9800,24960,34760,7810,33400,41210,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0024,12180,49670,61850,9980,31040,41020,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0059,18420,65400,83820,16330,67060,83390,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0033,10540,42940,53480,8390,40060,48450,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0026,10970,50510,61480,8990,71590,80580,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0035,11120,47780,58900,9120,30640,39760,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0065,14250,23910,38160,12150,51030,63180,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0048,12830,64770,77600,10750,71910,82660,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06604 0014,3820,51620,55440,3560,61940,65500,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06808 0051,12830,49010,61840,10750,48800,59550,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06807 0060,9800,29730,39530,7810,25080,32890,FIVE OAKS,HD-1,Graf-Rock-Wroe
R72 06707 0051,!,!,!,78420,258450,336870,FIVE OAKS,HD-1,Grafton Hill
R72 06902 0007,7160,0,7160,6460,0,6460,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0001,16920,67750,84670,16200,75610,91810,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0003,14150,71100,85250,14110,102350,116460,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0005,6010,0,6010,5390,0,5390,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0009,5840,0,5840,5240,0,5240,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06902 0009,6010,0,6010,5390,0,5390,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0032,6070,6370,12440,5810,1100,6910,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0002,19380,72210,91590,19340,101180,120520,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06902 0002,6010,0,6010,5390,0,5390,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06902 0017,11700,46150,57850,11650,102830,114480,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06902 0008,12040,73480,85520,11980,82540,94520,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06902 0005,14710,68060,82770,14850,99500,114350,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0004,5960,0,5960,5320,0,5320,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06902 0001,12040,102350,114390,11980,94970,106950,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0008,11310,66030,77340,11240,76790,88030,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0006,6010,0,6010,5390,0,5390,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06902 0018,4090,0,4090,4080,0,4080,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0027,14680,58540,73220,15060,79100,94160,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0035,230,0,230,230,0,230,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06902 0013,6170,0,6170,5550,0,5550,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06902 0016,5840,0,5840,5240,0,5240,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06902 0014,14300,58900,73200,14350,98070,112420,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0010,16900,53130,70030,17060,83440,100500,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06902 0010,24050,88850,112900,24490,87730,112220,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0024,14560,65090,79650,14690,89400,104090,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06902 0003,6690,0,6690,6040,0,6040,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06902 0036,5340,0,5340,4750,0,4750,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06901 0025,14360,62510,76870,12880,0,12880,FIVE OAKS,HD-2,Kenilworth Ave.
R72 06712 0042,15080,81350,96430,13070,54060,67130,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0056,14710,48110,62820,12140,21470,33610,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0010,14730,73690,88420,11750,67080,78830,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0018,11310,21430,32740,9160,43000,52160,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0043,13880,108200,122080,11590,57490,69080,FIVE OAKS,HD-1,Squirrel Forest
R72 06710 0011,18690,123310,142000,16460,106750,123210,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0012,18170,40390,58560,13220,51610,64830,FIVE OAKS,HD-1,Squirrel Forest
R72 06710 0008,14250,17260,31510,12050,19770,31820,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0055,11040,49090,60130,8790,5370,14160,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0007,12830,70400,83230,10450,59320,69770,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0051,49500,130250,179750,45000,61320,106320,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0036,14390,64300,78690,12230,65620,77850,FIVE OAKS,HD-1,Squirrel Forest
R72 06708 0017,10600,45410,56010,8550,44800,53350,FIVE OAKS,HD-1,Squirrel Forest
R72 06710 0009,16530,60710,77240,14480,88400,102880,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0022,16090,88040,104130,14270,78690,92960,FIVE OAKS,HD-1,Squirrel Forest
R72 06708 0019,11130,61270,72400,9010,40840,49850,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0003,27000,60170,87170,27000,64660,91660,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0002,11810,63730,75540,9530,47270,56800,FIVE OAKS,HD-1,Squirrel Forest
R72 06710 0014,14380,76750,91130,12200,77630,89830,FIVE OAKS,HD-1,Squirrel Forest
R72 06708 0018,10470,64290,74760,8440,58540,66980,FIVE OAKS,HD-1,Squirrel Forest
R72 06708 0015,10600,43730,54330,8550,59090,67640,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0009,15370,72640,88010,12600,76100,88700,FIVE OAKS,HD-1,Squirrel Forest
R72 06710 0002,14500,51740,66240,12550,58160,70710,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0040,13370,97300,110670,11370,71010,82380,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0030,20480,82310,102790,16820,74940,91760,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0037,4980,0,4980,3650,0,3650,FIVE OAKS,HD-1,Squirrel Forest
R72 06710 0001,17110,92410,109520,15000,82730,97730,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0029,16090,87590,103680,14270,79420,93690,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0031,6110,0,6110,4310,0,4310,FIVE OAKS,HD-1,Squirrel Forest
R72 06712 0035,16240,62760,79000,13880,81820,95700,FIVE OAKS,HD-1,Squirrel Forest
