R72 06901 0010,16900,53130,70030
R72 06902 0010,24050,88850,112900
R72 06901 0024,14560,65090,79650
R72 06902 0003,6690,0,6690
R72 06902 0036,5340,0,5340
R72 06901 0025,14360,62510,76870
R72 06712 0042,15080,81350,96430
R72 06712 0056,14710,48110,62820
R72 06712 0010,14730,73690,88420
R72 06712 0018,11310,21430,32740
R72 06712 0043,13880,108200,122080
R72 06710 0011,18690,123310,142000
R72 06712 0012,18170,40390,58560
R72 06710 0008,14250,17260,31510
R72 06712 0055,11040,49090,60130
R72 06712 0023,!,!,!
R72 06712 0006,!,!,!
R72 06712 0053,!,!,!
R72 06712 0007,12830,70400,83230
R72 06712 0051,49500,130250,179750
R72 06712 0036,14390,64300,78690
R72 06708 0017,10600,45410,56010
R72 06712 0027,!,!,!
R72 06710 0009,16530,60710,77240
R72 06712 0022,16090,88040,104130
R72 06712 0025,!,!,!
R72 06712 0054,!,!,!
R72 06708 0021,!,!,!
R72 06708 0019,11130,61270,72400
R72 06712 0003,27000,60170,87170
R72 06712 0002,11810,63730,75540
R72 06710 0014,14380,76750,91130
R72 06708 0018,10470,64290,74760
R72 06708 0015,10600,43730,54330
R72 06712 0009,15370,72640,88010
R72 06710 0002,14500,51740,66240
R72 06712 0040,13370,97300,110670
R72 06712 0030,20480,82310,102790
R72 06712 0037,4980,0,4980
R72 06710 0001,17110,92410,109520
R72 06712 0029,16090,87590,103680
R72 06712 0031,6110,0,6110
R72 06712 0028,!,!,!
R72 06712 0035,16240,62760,79000
R72 06712 0024,16820,106960,123780
R72 06712 0034,13140,51820,64960
R72 06712 0032,19150,40450,59600
R72 06712 0026,24130,111150,135280
R72 06712 0048,13540,96530,110070
R72 06712 0016,13280,70120,83400
R72 06712 0033,14130,128940,143070
R72 06710 0028,!,!,!
R72 06712 0046,14130,17390,31520
R72 06712 0011,19220,52880,72100
R72 06708 0016,10600,43990,54590
R72 06712 0049,6780,0,6780
R72 06712 0059,1460,0,1460
R72 06712 0041,13490,89730,103220
R72 06712 0052,6470,1820,8290
R72 06712 0058,15230,50810,66040
R72 06710 0010,18530,54130,72660
R72 06712 0008,13380,89960,103340
R72 06706 0005,12000,52070,64070
R72 06712 0014,14130,60930,75060
R72 06712 0047,13420,87480,100900
R72 06712 0020,30710,110730,141440
R72 06712 0019,11960,63480,75440
R72 06712 0017,17260,116680,133940
R72 06712 0015,13750,60790,74540
R72 06708 0014,10600,36550,47150
R72 06712 0013,14380,68150,82530
R72 06712 0038,4450,0,4450
R72 06712 0039,13370,118200,131570
R72 06712 0044,14000,26000,40000
R72 06712 0045,7010,0,7010
R72 50824 0013,5000,6500,11500
R72 06503 0032,!,!,!
R72 06505 0021,!,!,!
R72 06508 0031,!,!,!
R72 06502P0000,!,!,!
R72 06511 0013,!,!,!
R72 06511 0005,!,!,!
R72 06511 0007,!,!,!
R72 06511 0009,!,!,!
R72 06511 0002,!,!,!
R72 06503 0024,!,!,!
R72 51423 0003,0,0,0
R72 06609 0032,0,0,0
R72 06504 0045,5940,7450,13390
R72 06606 0035,21120,0,21120
R72 06609 0008,30250,83260,113510
R72 06504 0022,6000,8260,14260
R72 06507 0010,28500,51420,79920
R72 06504 0023,6000,4820,10820
R72 06606 0014,22880,53650,76530
R72 06504 0058,260,570,830
R72 06504 0021,6000,1940,7940
R72 06501 0010,5400,5380,10780
R72 06505 0017,11150,60620,71770
R72 06501 0038,30250,57160,87410
R72 06508 0006,!,!,!
R72 06511 0004,!,!,!
R72 06511 0012,!,!,!
R72 06511 0010,!,!,!
R72 06511 0003,!,!,!
R72 06508 0030,!,!,!
R72 06508 0032,!,!,!
R72 06511 0011,!,!,!
R72 06511 0006,!,!,!
R72 06404 0015,!,!,!
R72 06503 0011,27230,53280,80510
R72 06507 0005,!,!,!
R72 06503 0043,!,!,!
R72 06501 0057,!,!,!
R72 06508 0034,!,!,!
R72 06404 0012,!,!,!
R72 06508 0020,36500,129460,165960
R72 06609 0009,60000,46000,106000
R72 06404 0013,!,!,!
R72 06606 0047,6840,3050,9890
R72 06503 0008,27230,19830,47060
R72 06409 0003,!,!,!
R72 06404 0007,!,!,!
R72 06508 0004,25000,174360,199360
R72 50824 0014,0,0,0
R72 06508 0017,!,!,!
R72 06606 0027,27160,48130,75290
R72 06507 0012,24750,190610,215360
R72 06503 0023,!,!,!
R72 06609 0014,22500,29790,52290
R72 06504 0016,!,!,!
R72 06503 0030,!,!,!
R72 06503 0012,6080,0,6080
R72 06501 0041,!,!,!
R72 50824 0009,5000,16650,21650
R72 06507 0004,153000,143400,296400
R72 06606 0023,!,!,!
R72 06501 0060,!,!,!
R72 06503 0029,!,!,!
R72 06501 0028,30250,28600,58850
R72 06507 0019,!,!,!
R72 06404 0008,!,!,!
R72 06606 0037,!,!,!
R72 06501 0056,63000,6030,69030
R72 06501 0049,!,!,!
R72 06506 0008,!,!,!
R72 06506 0001,13500,810,14310
R72 06404 0010,!,!,!
R72 06504 0054,18000,17610,35610
R72 06508 0024,18000,42370,60370
R72 06503 0006,26780,122160,148940
R72 06503 0014,33750,131230,164980
R72 06506 0002,31500,34680,66180
R72 06504 0003,!,!,!
R72 06503 0034,11930,101060,112990
R72 06501 0053,!,!,!
R72 06504 0015,!,!,!
R72 06508 0029,!,!,!
R72 06501 0043,!,!,!
R72 06609 0019,!,!,!
R72 06503 0037,11480,112290,123770
R72 06404 0014,!,!,!
R72 06501 0042,!,!,!
R72 06504 0046,!,!,!
R72 06609 0038,30250,198200,228450
R72 06507 0018,35970,105490,141460
R72 06504 0017,!,!,!
R72 06606 0046,!,!,!
R72 50824 0001,5000,19640,24640
R72 06508 0019,23500,89280,112780
R72 06506 0006,28000,75830,103830
R72 06503 0044,14280,74730,89010
R72 06507 0017,8440,0,8440
R72 06501 0051,!,!,!
R72 06506 0021,!,!,!
R72 06503 0016,2360,0,2360
R72 06609 0016,5400,108630,114030
R72 06404 0006,!,!,!
R72 06501 0058,!,!,!
R72 06609 0037,9080,0,9080
R72 06508 0014,31000,91080,122080
R72 06606 0024,30820,26520,57340
R72 06606 0036,27040,27310,54350
R72 06503 0048,10200,77800,88000
R72 06609 0050,5410,0,5410
R72 06609 0039,12100,0,12100
R72 06503 0005,25880,101890,127770
R72 06501 0035,!,!,!
R72 06501 0029,15130,0,15130
R72 06504 0052,27500,92760,120260
R72 06501 0014,5400,0,5400
R72 06504 0020,6000,810,6810
R72 06504 0019,6000,310,6310
R72 06504 0034,1660,790,2450
R72 06506 0007,382500,639680,1022180
R72 06503 0015,40500,5950,46450
R72 06503 0045,!,!,!
R72 06501 0046,!,!,!
R72 06504 0006,!,!,!
R72 06501 0052,63000,136120,199120
R72 06504 0004,!,!,!
R72 06507 0015,27000,61680,88680
R72 06609 0018,!,!,!
R72 06606 0003,!,!,!
R72 06503 0021,25990,60410,86400
R72 06503 0004,!,!,!
R72 06503 0025,!,!,!
R72 06501 0040,24190,20890,45080
R72 06508 0016,!,!,!
R72 06503 0013,6080,0,6080
R72 06504 0049,!,!,!
R72 06503 0042,18000,21090,39090
R72 06503 0018,121500,39960,161460
R72 50824 0008,5000,17880,22880
R72 06508P0000,!,!,!
R72 06503 0036,11480,83240,94720
R72 06606 0012,18000,41930,59930
R72 06606 0019,29500,42530,72030
R72 06503 0047,!,!,!
R72 06503 0022,!,!,!
R72 06609 0017,18000,28510,46510
R72 06609 0049,5410,0,5410
R72 06609 0029,5400,0,5400
R72 06606 0022,!,!,!
R72 06501 0034,180000,18230,198230
R72 06503 0003,!,!,!
R72 06503 0010,!,!,!
R72 06503 0007,27230,43090,70320
R72 06609 0010,27830,73710,101540
R72 06507 0006,!,!,!
R72 06501 0050,!,!,!
R72 06606 0039,22570,50400,72970
R72 06508 0003,32490,149440,181930
R72 06506 0027,!,!,!
R72 06609 0006,30250,98230,128480
R72 06503 0009,54000,176410,230410
R72 06508 0027,27560,68290,95850
R72 06501 0054,!,!,!
R72 06504 0018,7240,220,7460
R72 06504 0057,1030,570,1600
R72 06508 0022,!,!,!
R72 06504 0033,2090,0,2090
R72 06504 0013,24050,0,24050
R72 06504 0047,31760,46030,77790
R72 06501 0013,5400,25110,30510
R72 06609 0005,30250,41810,72060
R72 06506 0010,!,!,!
R72 06507 0009,14250,0,14250
R72 06501 0047,!,!,!
R72 06508 0009,6310,0,6310
R72 06508 0023,25990,107010,133000
R72 06504 0005,!,!,!
R72 06503 0039,2320,0,2320
R72 06504 0056,!,!,!
R72 06609 0051,8090,0,8090
R72 06504 0050,30250,83730,113980
R72 06506 0020,13130,0,13130
R72 06504 0048,18000,87450,105450
R72 50824 0002,5000,16650,21650
R72 06507 0008,!,!,!
R72 06506 0009,!,!,!
R72 06505 0020,10330,54750,65080
R72 51423 0004,0,0,0
